#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsShortBufferRB
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsFloatBufferRL
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsShortBufferL
java.nio.ByteBufferAsLongBufferL java.nio.ByteBufferAsDoubleBufferRB
