#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
com.aelitis.net.natpmp.upnp.impl.NatPMPUPnPRootDeviceImpl com.aelitis.net.upnp.UPnPService
com.aelitis.azureus.ui.swt.columns.subscriptions.ColumnSubscriptionCategory com.aelitis.azureus.ui.swt.columns.subscriptions.ColumnSubscriptionAutoDownload
com.aelitis.azureus.ui.swt.browser.msg.MessageDispatcherSWT com.aelitis.azureus.core.messenger.browser.BrowserMessageDispatcher
com.aelitis.azureus.ui.swt.plugininstall.SimplePluginInstallWindow com.aelitis.azureus.ui.swt.feature.FeatureManagerInstallWindow
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Duration com.aelitis.azureus.ui.swt.columns.torrent.ColumnUnopened
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Duration com.aelitis.azureus.ui.swt.columns.vuzeactivity.ColumnActivityNew
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Duration com.aelitis.azureus.ui.swt.columns.subscriptions.ColumnSubscriptionNew
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Rank com.aelitis.azureus.ui.swt.columns.torrent.ColumnUnopened
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Rank com.aelitis.azureus.ui.swt.columns.vuzeactivity.ColumnActivityNew
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Rank com.aelitis.azureus.ui.swt.columns.subscriptions.ColumnSubscriptionNew
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Rank com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Duration
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Category com.aelitis.azureus.ui.swt.columns.torrent.ColumnUnopened
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Category com.aelitis.azureus.ui.swt.columns.vuzeactivity.ColumnActivityNew
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Category com.aelitis.azureus.ui.swt.columns.subscriptions.ColumnSubscriptionNew
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Category com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Duration
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Category com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Rank
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Resolution com.aelitis.azureus.ui.swt.columns.torrent.ColumnUnopened
com.aelitis.azureus.ui.swt.devices.columns.ColumnTJ_Resolution com.aelitis.azureus.ui.swt.columns.vuzeactivity.ColumnActivityNew
