#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.io.graphml.GraphMLDocument "UNKNOWN"
edu.uci.ics.jung.io.graphml.GraphMLReader2 "Nathan Mittler"
edu.uci.ics.jung.io.graphml.HyperEdgeMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.Key "Nathan Mittler"
edu.uci.ics.jung.io.graphml.KeyMap "Nathan Mittler"
edu.uci.ics.jung.io.graphml.Metadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.NodeMetadata "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.AbstractElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.DataElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.EdgeElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.ElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.ElementParserRegistry "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.EndpointElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.GraphElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.GraphMLEventFilter "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.HyperEdgeElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.KeyElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.NodeElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.ParserContext "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.PortElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.StringElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.parser.UnknownElementParser "Nathan Mittler"
edu.uci.ics.jung.io.graphml.PortMetadata "Nathan Mittler"
edu.uci.ics.jung.io.GraphMLMetadata "UNKNOWN"
edu.uci.ics.jung.io.GraphMLReader "UNKNOWN"
edu.uci.ics.jung.io.GraphMLWriter "UNKNOWN"
edu.uci.ics.jung.io.GraphReader "Nathan Mittler"
edu.uci.ics.jung.io.MatrixFile "Scott"
edu.uci.ics.jung.io.PajekNetReader "Joshua O"
edu.uci.ics.jung.io.PajekNetWriter "Joshua O"
edu.uci.ics.jung.visualization.annotations.AnnotatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.annotations.AnnotatingModalGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.annotations.Annotation "Tom Nelson"
edu.uci.ics.jung.visualization.annotations.AnnotationControls "Tom Nelson"
edu.uci.ics.jung.visualization.annotations.AnnotationManager "Tom Nelson"
edu.uci.ics.jung.visualization.annotations.AnnotationPaintable "Tom Nelson"
edu.uci.ics.jung.visualization.annotations.AnnotationRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.BasicTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.BasicVisualizationServer "Joshua O"
edu.uci.ics.jung.visualization.control.AbsoluteCrossoverScalingControl "Tom Nelson"
edu.uci.ics.jung.visualization.control.AbstractGraphMousePlugin "thomasnelson"
edu.uci.ics.jung.visualization.control.AbstractModalGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.control.AbstractPopupGraphMousePlugin "UNKNOWN"
edu.uci.ics.jung.visualization.control.AnimatedPickingGraphMousePlugin "Tom Nelson"
